Id_Cam_Seguretat,Codi_Cam_Seguretat,Tipus_Cam_Seguretat,Num_Cam_Seguretat,Codi_Suport,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,X_ETRS89,Y_ETRS89,Longitud,Latitud,Data_Alta
417105,CIM Ronda,mobil,,Mastil,3, Sants-Montjuïc,12,la Marina del Prat Vermell,426462403,4576869858,2.1210822,41.3399628,2000/01/01
417363,CIM Ronda,mobil,,Mastil,1, Ciutat Vella,3,la Barceloneta,432315169,4581687222,2.1904896,41.3838644,2000/01/01
417365,CIM Ronda,mobil,,Mastil,1, Ciutat Vella,2,el Barri Gòtic,431354991,4580875964,2.1790990,41.3764765,2000/01/01
417369,CIM Ronda,mobil,,Mastil,3, Sants-Montjuïc,11,el Poble Sec,430702096,4579698759,2.1714265,41.3658183,2000/01/01
417371,CIM Ronda,mobil,,Mastil,3, Sants-Montjuïc,12,la Marina del Prat Vermell,429494641,4578242915,2.1571601,41.3526006,2000/01/01
417374,CIM Ronda,mobil,,Mastil,3, Sants-Montjuïc,12,la Marina del Prat Vermell,428515148,4577791359,2.1455054,41.3484478,2000/01/01
417376,CIM Ronda,mobil,,Mastil,3, Sants-Montjuïc,12,la Marina del Prat Vermell,428048411,4577550222,2.1399554,41.3462341,2000/01/01
417378,DOMO,mobil,7,Mastil,3, Sants-Montjuïc,13,la Marina de Port,428233480,4578671556,2.1420347,41.3563502,2000/01/01
417385,DOMO,mobil,111,Mastil,3, Sants-Montjuïc,14,la Font de la Guatlla,428281887,4580172416,2.1424359,41.3698717,2003/05/22
417387,CIM,mobil,40,Mastil,3, Sants-Montjuïc,11,el Poble Sec,428914560,4580737558,2.1499340,41.3750186,2000/01/01
417388,CIF,fixa,41,Mastil,3, Sants-Montjuïc,11,el Poble Sec,428914560,4580737558,2.1499340,41.3750186,2000/01/01
417393,DOMO,mobil,110,Mastil,3, Sants-Montjuïc,11,el Poble Sec,429464719,4580743626,2.1565116,41.3751213,2000/01/01
417395,CIM,mobil,87,Mastil,2, Eixample,10,Sant Antoni,429168369,4581039866,2.1529334,41.3777635,2000/01/01
417400,CIM,mobil,86,Mastil,2, Eixample,9,la Nova Esquerra de l'Eixample,428790508,4581275691,2.1483874,41.3798542,2000/01/01
417403,CIM,mobil,85,Mastil,2, Eixample,9,la Nova Esquerra de l'Eixample,428684133,4581536520,2.1470847,41.3821940,2003/05/22
417408,CIM,mobil,81,Mastil,3, Sants-Montjuïc,15,Hostafrancs,428329109,4581345169,2.1428618,41.3804385,2000/01/01
417410,CIF,fixa,115,Mastil,3, Sants-Montjuïc,15,Hostafrancs,428329109,4581345169,2.1428618,41.3804385,2000/01/01
417424,CIM,mobil,88,Mastil,5, Sarrià-Sant Gervasi,26,Sant Gervasi-Galvany,428416192,4582695658,2.1437436,41.3926101,2000/01/01
417426,DOMO,mobil,93,ColumnaAuxiliar,2, Eixample,8,l'Antiga Esquerra de l'Eixample,428901834,4582840405,2.1495350,41.3939567,2000/01/01
417428,CIM,mobil,76,Mastil,5, Sarrià-Sant Gervasi,26,Sant Gervasi-Galvany,428908252,4583068222,2.1495850,41.3960092,2000/01/01
417430,CIF,fixa,119,Mastil,5, Sarrià-Sant Gervasi,26,Sant Gervasi-Galvany,428729224,4583644732,2.1473759,41.4011861,2000/01/01
417431,CIM,mobil,39,Mastil,5, Sarrià-Sant Gervasi,26,Sant Gervasi-Galvany,428729224,4583644732,2.1473759,41.4011861,2000/01/01
417433,DOMO,mobil,37,Mastil,5, Sarrià-Sant Gervasi,27,el Putxet i el Farró,428175611,4584021145,2.1407090,41.4045265,2000/01/01
417434,CIF,fixa,127,Mastil,5, Sarrià-Sant Gervasi,27,el Putxet i el Farró,428175611,4584021145,2.1407090,41.4045265,2000/01/01
